code;url;product_name;brands;stores;nutrition_grade_fr;main_category_fr;countries_fr;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g;image_url;image_small_url;last_modified_t
2000000043894;http://world-fr.openfoodfacts.org/produit/2000000043894/harvest-basket-pommes-noisettes-1000gr;Harvest Basket - Pommes Noisettes - 1000gr ;Harvest Basket,Lidl;LIDL;c;Chips et frites;France;715.0;5.5;26.5;2.5;;2.5;0.9;;;1489259598
2000000048762;http://world-fr.openfoodfacts.org/produit/2000000048762/sultana-fruit-biscuit-saveur-fruits-rouges-verkade;SULTANA Fruit Biscuit saveur fruits rouges;VERKADE,Sultana;Leclerc;d;Biscuits;France;1657.0;7.2;75.8;37.5;2.5;5.6;0.61;;;1497951267
2000000048766;http://world-fr.openfoodfacts.org/produit/2000000048766/sondey-gaufrettes-framboise;SONDEY Gaufrettes framboise;SONDEY;Lidl;d;Biscuits;France;1549.0;1.0;84.0;36.0;0.0;4.0;0.38;;;1497956927
2000000052047;http://world-fr.openfoodfacts.org/produit/2000000052047/palets-solognots-biscuiterie-de-chambord;Palets solognots;Biscuiterie de Chambord;Leclerc;e;Biscuits;France;2087.4;24.5;64.4;37.3;1.7;5.5;0.15;;;1504373110
2000005351013;http://world-fr.openfoodfacts.org/produit/2000005351013/assortiment-de-biscuits-de-noel-becky-s;Assortiment de Biscuits de Noël;Becky's;;e;Biscuits;France;2147.0;25.5;64.8;24.8;;5.4;0.3;http://fr.openfoodfacts.org/images/products/200/000/535/1013/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/200/000/535/1013/front.5.200.jpg;1490873185
20005382;http://world-fr.openfoodfacts.org/produit/20005382/sprits-pur-beurre-sondey;Sprits Pur beurre ;Sondey,Lidl;Lidl;d;Biscuits;France;2304.0;31.0;62.0;24.0;2.4;4.9;0.18;http://fr.openfoodfacts.org/images/products/20005382/front.20.400.jpg;http://fr.openfoodfacts.org/images/products/20005382/front.20.200.jpg;1498910278
20005566;http://world-fr.openfoodfacts.org/produit/20005566/genoise-cerise-sondey;Génoise cerise;Sondey;Lidl;d;Biscuits;France;1624.0;10.8;67.6;49.4;2.2;3.4;0.254;http://fr.openfoodfacts.org/images/products/20005566/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/20005566/front.3.200.jpg;1415206055
20008512;http://world-fr.openfoodfacts.org/produit/20008512/frites-harvest-basket;Frites;Harvest Basket;lidl;b;Chips et frites;France;564.0;3.4;22.1;0.5;;2.3;0.15;;;1476975585
20014834;http://world-fr.openfoodfacts.org/produit/20014834/tortilla-chili-crusti-croc;Tortilla Chili;Crusti Croc,Lidl;Lidl;d;Chips et frites;France;1975.0;20.0;64.4;1.5;;6.6;1.6;;;1503125829
20026578;http://world-fr.openfoodfacts.org/produit/20026578/gaufrettes-roulees-chocolat-noir-favorini;Gaufrettes roulées chocolat noir;Favorini,Sondey;Lidl;e;Biscuits;France;2245.0;30.6;58.2;33.5;;5.8;0.44;http://fr.openfoodfacts.org/images/products/20026578/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/20026578/front.8.200.jpg;1474388638
20030049;http://world-fr.openfoodfacts.org/produit/20030049/choco-pouce-sondey;Choco Pouce;Sondey;Lidl;e;Biscuits;France;2116.0;25.0;62.0;36.0;2.3;7.0;0.254;http://fr.openfoodfacts.org/images/products/20030049/front.10.400.jpg;http://fr.openfoodfacts.org/images/products/20030049/front.10.200.jpg;1410963683
20034177;http://world-fr.openfoodfacts.org/produit/20034177/cantuccini-alle-mandorle-realforno;Cantuccini alle mandorle;Realforno,ITALIAMO;LIDL;d;Biscuits;France;1795.0;14.1;62.9;33.6;4.4;9.8;0.31;http://fr.openfoodfacts.org/images/products/20034177/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/20034177/front.3.200.jpg;1505419337
20034184;http://world-fr.openfoodfacts.org/produit/20034184/amaretti-italian-biscuits-italiamo;Amaretti Italian Biscuits;Italiamo;LIDL;d;Biscuits;France;1840.0;10.2;77.7;74.0;;6.9;0.2;http://fr.openfoodfacts.org/images/products/20034184/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/20034184/front.8.200.jpg;1456672117
20057459;http://world-fr.openfoodfacts.org/produit/20057459/gouters-fourres-gout-vanille-sondey;Gouters fourrés goût Vanille;Sondey;Lidl;e;Biscuits;France;2085.0;21.0;71.0;36.0;2.0;5.0;0.254;http://fr.openfoodfacts.org/images/products/20057459/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/20057459/front.3.200.jpg;1448127438
20063399;http://world-fr.openfoodfacts.org/produit/20063399/tortilla-mais-chips-classic-crusti-croc;Tortilla mais-chips classic;Crusti croc;Lidl;c;Chips et frites;France;1979.0;20.0;64.4;1.5;0.0;6.6;0.8999999999999989;http://fr.openfoodfacts.org/images/products/20063399/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/20063399/front.5.200.jpg;1510053595
20077310;http://world-fr.openfoodfacts.org/produit/20077310/chips-nature-crusti-croc;Chips nature;Crusti croc;Lidl;c;Chips et frites;France;2276.0;34.0;52.0;0.5;4.0;6.0;1.524;http://fr.openfoodfacts.org/images/products/20077310/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/20077310/front.8.200.jpg;1488969918
20077327;http://world-fr.openfoodfacts.org/produit/20077327/paprika-crusti-croc;Paprika;Crusti Croc;Lidl;d;Chips et frites;France;2251.0;34.0;50.5;2.2;;6.0;1.68;;;1510225016
20080990;http://world-fr.openfoodfacts.org/produit/20080990/chips-saveur-paprika-pfiff;Chips saveur paprika;Pfiff;Norma;d;Chips et frites;France;2280.0;35.0;50.2;1.4;5.0;5.4;1.74;http://fr.openfoodfacts.org/images/products/20080990/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/20080990/front.3.200.jpg;1459173348
20082986;http://world-fr.openfoodfacts.org/produit/20082986/envitas-cereales-pepites-de-chocolat-sondey;Envitas Céréales & Pépites de Chocolat;Sondey,Lidl;;d;Biscuits;France;1945.0;17.5;64.5;28.0;7.0;8.5;0.72;;;1510305954
